"SPECIES_CODE","EFFORT_HRS"
"accipi",1294.293
"afcdov1",18.018
"agwtea1",1.001
"altori",39.039
"ambduc",617.617
"amebit",3.003
"amecoo",101.101
"amedip",2.002
"amekes1",64.064
"amepip",32.032
"amered",163.163
"amerob3",7.007
"amewig",93.093
"amewoo",100.1
"amhgul1",104.104
"amwpel",21.021
"anhing",292.292
"archil1",18.018
"ariwoo",6.006
"astfly",56.056
"attwoo1",22.022
"audori",144.144
"audwar",656.656
"babwar",5.005
"barswa",166.166
"bawwar",731.731
"bbwduc",527.527
"bcnher",13.013
"bcrfin",163.163
"bcxtit1",101.101
"belkin1",1028.027
"belvir",44.044
"benthr",48.048
"berhum",10.01
"bkbcuc",1.001
"bkbwar",8.008
"bkbwoo",21.021
"bkcgna",1.001
"bkcspa",14.014
"bkhgro",658.658
"bkhpar",163.163
"bknsti",7.007
"bkpwar",17.017
"bkrfin",81.081
"bktgna",126.126
"bktspa",839.839
"bkvori",5.005
"blackb",148.148
"blbgra1",4.004
"blhsis1",3.003
"blkmer1",41.041
"blkvul",1452.451
"blubun",30.03
"blugrb1",139.139
"blugrs",8.008
"blumoc",7.007
"bncfly",7.007
"boboli",2.002
"borowl",10.01
"botgra",1572.571
"brambl",12.012
"brbhum",1119.118
"brespa",97.097
"britit",402.402
"brnowl",92.092
"brnpel",26.026
"brocow",63.063
"broman1",14.014
"brthum",227.227
"brwhaw",119.119
"brwhaw1",2.002
"btbwar",93.093
"btmjay",39.039
"btnwar",27.027
"btywar",127.127
"bubhum",219.219
"bucnig",2.002
"bucpar",82.082
"budger",20.02
"buffle",179.179
"buggna1",21.021
"buhvir",278.278
"bulori",316.316
"buthum",19.019
"buwtea",57.057
"buwwar",4.004
"cacgoo1",7.007
"calgna",1.001
"calgul",128.128
"calhum",64.064
"calthr",925.925
"calypt",19.019
"camwar",32.032
"cangoo1",5.005
"cangoo4",30.03
"canvas",13.013
"canwre",244.244
"caskin",311.311
"casspa",5.005
"casvir",30.03
"categr",139.139
"cathus",1.001
"chemun",4.004
"chicka1",1.001
"chirav",117.117
"chiswi",24.024
"chswar",2.002
