"LOC_ID","Month","Total_Birds","Avg_HRS_Effort","Avg_Housing_Density"
"L100025",4,13,1.001,2
"L100025",2,85,1.001,2
"L100025",3,154,1.001,2
"L100025",1,180,0.934333333333333,2
"L100025",12,247,1.35394117647059,2
"L100025",11,35,1.001,2
"L100032",12,1084,1.6387358490566,2
"L100032",11,683,1.10047643979058,2
"L100032",3,843,0.96178431372549,2
"L100032",2,1013,1.24563519313305,2
"L100032",4,210,1.001,2
"L100032",1,1172,1.25001185770751,2
"L10005153",12,30,0.001,4
"L10005153",11,43,0.001,4
"L100057",11,649,1.33433333333333,2.2
"L100057",2,1267,2.21822846441948,2.2
"L100057",4,384,2.81288118811881,2.2
"L100057",1,1047,1.33970967741935,2.2
"L100057",3,1280,2.322875,2.2
"L100057",12,1110,1.14598141263941,2.2
"L10007061",3,70,1.81918181818182,2
"L10007061",4,46,1.001,2
"L10007061",2,122,1.001,2
"L10007061",12,83,1.001,2
"L10007061",1,75,1.001,2
"L10007061",11,49,1.001,2
"L10011691",2,140,0.858142857142857,1
"L10011691",4,180,1.001,1
"L10011691",3,250,1.001,1
"L10011691",12,208,0.654061224489796,1
"L10011691",1,167,1.001,1
"L10011691",11,120,1.001,1
"L1001179",1,123,1.001,1
"L1001179",2,152,1.70933333333333,1
"L1001179",4,76,1.001,1
"L1001179",11,62,1.001,1
"L1001179",12,96,1.71528571428571,1
"L1001179",3,112,1.001,1
"L10011987",4,143,1.83706557377049,2
"L10011987",1,220,4.001,2
"L10011987",2,231,1.001,2
"L10011987",11,116,2.04751162790698,2
"L10011987",12,255,2.8179014084507,2
"L10011987",3,194,1.001,2
"L10012113",11,125,4.001,3
"L10012113",3,35,1.001,3
"L10012113",4,27,1.001,3
"L10012113",1,65,2.401,3
"L1001960",1,1017,0.965912280701754,1.5
"L1001960",11,378,1.001,1.5
"L1001960",2,1105,1.001,1.5
"L1001960",3,1104,1.21749484536082,1.5
"L1001960",4,273,0.910090909090909,1.5
"L1001960",12,871,1.001,1.5
"L100209",1,287,1.95394117647059,3
"L100209",4,275,1.001,3
"L100209",12,342,1.401,3
"L100209",11,258,2.02452941176471,3
"L100209",2,340,2.24138461538462,3
"L100209",3,433,1.2920447761194,3
"L10022420",2,103,0.519518518518518,4
"L10022420",1,73,0.91404347826087,4
"L10022420",11,40,0.843105263157895,4
"L10022420",3,56,0.91404347826087,4
"L10022420",4,26,0.546454545454545,4
"L10022420",12,87,1.001,4
"L10022496",1,86,1.001,1
"L10022496",11,57,0.584333333333333,1
"L10022496",2,15,1.001,1
"L10022496",12,47,1.001,1
"L10022496",4,18,1.001,1
"L10022496",3,75,1.001,1
"L10030695",3,30,1.001,1
"L10030695",2,44,0.401,1
"L10030695",12,78,0.838837837837838,1
"L10030695",11,76,0.675418604651163,1
"L10030695",1,91,0.715285714285714,1
"L10031452",12,51,2.42957142857143,3
"L10031452",2,57,4.001,3
"L10031452",11,151,3.0635,3
"L10031452",1,56,4.001,3
"L10032734",2,40,1.001,3
"L10032734",11,47,2.27023076923077,3
"L10032734",12,71,1.001,3
"L10032734",1,81,1.001,3
"L10032734",3,99,2.43578260869565,3
"L10034033",2,378,4.001,3
"L10034033",1,368,4.001,3
"L10034033",11,358,4.001,3
"L10034033",4,60,4.001,3
"L10034033",12,323,4.001,3
"L10034033",3,261,4.001,3
"L10034669",1,47,1.001,4
"L10034669",3,58,1.001,4
"L10036849",2,36,1.001,2
"L10036849",11,25,1.001,2
"L10036849",1,44,1.001,2
"L10036849",12,54,2.251,2
"L10036849",3,27,1.001,2
"L10037363",11,19,1.001,4
"L10038530",12,97,1.001,3
"L10038530",1,37,1.001,3
"L10038530",11,102,0.764157894736842,3
"L10038530",2,52,1.001,3
"L10040484",4,365,1.73433333333333,1
"L10040484",1,111,0.001,1
"L10040484",3,255,1.001,1
"L10040484",2,339,1.001,1
"L10040484",12,160,0.001,1
"L10040484",11,244,0.729813559322034,1
"L10041789",11,43,1.001,2
"L10041917",12,54,0.001,3
"L10041917",3,95,0.001,3
"L10041917",2,102,0.001,3
"L10041917",4,108,0.301,3
"L10041917",11,122,0.501,3
"L10041917",1,54,0.001,3
"L10042335",12,24,1.001,4
"L10042335",4,108,1.001,4
"L10042335",3,31,1.001,4
"L10042335",2,14,1.001,4
"L10042335",1,23,1.001,4
"L10042450",1,30,1.001,4
"L10042450",12,50,1.001,4
"L10042450",11,39,1.001,4
"L10042549",2,31,0.001,1
"L10042549",1,41,0.001,1
"L10042549",11,23,0.001,1
"L10042549",3,30,0.001,1
"L10042549",12,26,0.001,1
"L10042551",3,15,8.001,2
"L10042551",4,55,4.001,2
"L10042551",2,9,1.001,2
"L10042551",1,102,1.751,2
"L10042551",11,44,4.001,2
"L10042551",12,60,2.876,2
"L10042779",11,14,1.001,3
"L10042779",1,18,3.801,3
"L10042779",4,13,1.001,3
"L10042779",3,10,0.751,3
"L10042779",2,21,2.751,3
"L10042779",12,25,1.001,3
"L10043332",11,81,0.788878787878788,3
"L10043332",1,172,1.001,3
"L10043332",2,142,0.751,3
"L10043332",4,182,1.001,3
"L10043332",12,157,0.424076923076923,3
"L10043332",3,158,0.827923076923077,3
"L10043461",12,24,0.429571428571429,3
"L10043461",4,32,0.751,3
"L10043461",1,32,0.556555555555555,3
"L10043461",2,18,0.667666666666667,3
"L10043461",11,46,0.867666666666667,3
"L10043461",3,17,1.001,3
"L10044509",4,166,4.001,1
"L10044509",11,52,8.001,1
"L10044509",3,185,4.001,1
"L10044509",12,108,6.881,1
"L10044509",2,185,4.001,1
"L10044509",1,191,5.48671428571429,1
"L10044799",1,14,0.001,2
"L10044799",2,34,1.001,2
"L10044799",12,56,1.001,2
"L10044799",11,30,1.001,2
"L10045064",11,69,0.001,3
"L10045064",1,87,0.408407407407407,3
"L10045064",12,85,0.334333333333333,3
"L10045116",12,143,0.917666666666667,2
"L10045116",1,164,1.001,2
"L10045116",11,133,0.895736842105263,2
"L10045116",2,67,0.40725,2
"L10045116",3,62,0.524809523809524,2
"L10045116",4,49,0.723222222222222,2
"L10045122",12,23,1.001,3
"L10045122",2,43,0.6885,3
"L10045122",1,29,0.834333333333333,3
"L10045122",4,7,0.715285714285714,3
"L10045122",11,33,0.572428571428571,3
"L10045122",3,12,1.001,3
"L10045148",3,125,1.001,2
"L10045148",4,152,0.803816901408451,2
"L10045148",11,18,1.001,2
"L10045148",2,52,0.417666666666667,2
"L10045148",12,101,1.001,2
"L10045148",1,184,1.001,2
"L10045197",1,133,1.001,3
"L10045197",2,101,1.001,3
"L10045197",11,129,1.001,3
"L10045197",4,163,1.001,3
"L10045197",3,109,1.001,3
"L10045197",12,103,1.001,3
"L10045200",12,59,1.001,3
"L10045200",1,89,1.001,3
"L10045200",4,122,1.001,3
"L10045200",11,71,1.001,3
"L10045200",2,136,1.001,3
"L10045200",3,66,1.001,3
"L10045207",11,39,1.001,2
"L10045207",2,43,0.429571428571429,2
"L10045207",12,56,1.001,2
"L10045207",4,82,0.385615384615385,2
"L10045207",1,66,1.001,2
"L10045207",3,21,1.001,2
"L10045269",12,929,8.001,3
"L10045269",3,823,8.001,3
"L10045269",1,1080,8.001,3
"L10045269",11,568,8.001,3
"L10045269",2,903,8.001,3
"L10045269",4,583,8.001,3
"L10045285",12,17,1.001,1
"L10045285",11,23,1.001,1
"L10045312",12,74,2.17491304347826,4
"L10045312",11,41,1.001,4
"L10045634",3,13,0.001,2
"L10045634",12,152,0.694548387096774,2
"L10045634",11,83,0.523727272727273,2
"L10045634",2,45,0.477190476190476,2
"L10045634",1,97,0.334333333333333,2
"L10045939",12,79,1.96874193548387,3
"L10045939",1,99,2.67541860465116,3
"L10045939",2,77,2.18281818181818,3
"L10045939",11,55,2.36463636363636,3
"L10045939",3,37,1.001,3
"L10045988",12,220,1.64385714285714,4
"L10045988",11,69,2.09190909090909,4
"L10045988",1,50,0.001,4
"L10045988",2,55,0.001,4
"L10046125",4,214,1.001,3
"L10046125",2,304,1.001,3
"L10046125",3,210,1.001,3
"L10046125",1,222,1.001,3
"L10046125",11,164,0.440393939393939,3
"L10046125",12,105,1.001,3
"L10046147",12,205,5.01508450704225,1
"L10046147",4,173,7.26186956521739,1
"L10046147",2,285,6.03946153846154,1
"L10046147",3,225,6.06693406593407,1
"L10046147",11,50,3.46528571428571,1
"L10046147",1,277,5.501,1
"L10046204",3,639,6.02916901408451,1
"L10046204",1,1050,8.001,1
"L10046204",2,1009,5.18923529411765,1
"L10046204",12,884,8.001,1
"L10046204",4,106,4.001,1
"L10046204",11,934,6.02766666666667,1
"L10046337",1,137,1.001,1
"L10046337",12,123,0.501,1
"L10046337",4,97,0.762904761904762,1
"L10046337",3,134,0.725137931034483,1
"L10046337",2,157,0.794103448275862,1
"L10046337",11,76,0.334333333333333,1
"L10046643",4,5,1.001,3
"L10046643",2,146,1.001,3
"L10046643",11,95,1.97158823529412,3
"L10046643",1,73,1.001,3
"L10046643",3,69,0.879787878787879,3
"L10046643",12,86,1.001,3
"L10047072",12,9,1.001,3
"L10047072",3,28,0.534333333333333,3
"L10047072",2,50,1.801,3
"L10047072",1,37,1.001,3
"L10047072",4,31,1.001,3
"L10047155",11,58,1.001,3
"L10047454",11,66,0.501,1
"L10047454",12,108,0.484870967741935,1
"L10047454",3,98,0.290473684210526,1
"L10047454",2,138,0.582818181818182,1
"L10047454",1,120,0.210302325581395,1
"L10047454",4,116,1.001,1
"L10047689",2,263,1.001,2
"L10047689",12,65,1.001,2
"L10047689",11,123,1.001,2
"L10047689",1,158,1.001,2
"L10047689",3,176,0.737111111111111,2
"L10047689",4,170,1.001,2
"L100480",12,972,0.969085106382979,2
