"count","occurence"
1,52
2,29
3,19
4,24
5,11
6,14
7,8
8,12
9,5
10,10
11,3
12,4
13,3
14,12
15,4
16,1
17,5
18,3
19,7
20,2
21,10
22,5
23,3
24,4
25,4
26,6
27,3
28,2
29,2
30,4
31,4
32,5
33,4
34,9
35,2
36,2
37,3
38,3
39,3
40,1
41,3
42,2
43,3
44,3
45,2
46,1
47,2
48,2
49,3
50,1
51,1
52,1
53,1
54,3
55,1
56,1
57,2
58,2
59,1
60,1
61,1
62,1
63,1
64,4
65,1
67,1
68,2
69,2
70,4
71,1
72,1
73,1
75,4
79,1
80,2
81,3
82,1
83,2
84,1
87,3
88,1
89,1
90,1
92,2
93,3
94,2
96,1
97,2
100,1
101,2
103,1
104,2
105,1
106,2
107,2
112,1
114,2
117,1
119,1
120,1
121,1
122,1
123,1
125,1
126,2
127,1
128,1
130,2
131,1
132,1
139,2
141,1
142,1
143,1
144,1
145,1
147,1
148,1
149,2
150,1
151,2
158,1
163,3
165,1
166,1
169,1
176,1
177,1
179,2
186,2
187,1
192,1
195,1
196,1
198,1
200,1
203,1
207,1
208,1
209,1
213,1
219,1
220,1
227,1
229,1
240,1
242,1
244,1
245,2
251,1
255,1
258,1
266,2
274,1
278,2
292,1
305,1
311,1
314,1
316,1
321,1
324,1
329,1
351,1
359,1
360,1
361,1
365,1
373,1
382,1
383,1
390,1
394,1
402,1
411,1
419,1
431,2
445,1
450,1
477,1
481,1
493,1
500,1
501,2
505,1
512,1
524,1
527,1
531,1
536,1
538,1
543,1
556,1
568,1
584,1
598,1
605,1
614,1
617,1
623,1
627,1
641,1
656,1
658,1
684,1
687,1
701,1
731,1
746,1
757,1
765,1
769,1
786,1
793,1
811,1
837,1
839,1
895,1
899,1
925,2
966,1
980,1
1022,1
1027,1
1095,1
1107,1
1118,1
1196,1
1243,1
1284,1
1293,1
1321,1
1418,1
1451,1
1511,1
1512,1
1552,1
1571,1
1692,1
1724,1
1741,1
1751,1
1859,1
1876,1
1891,1
1960,1
1971,1
1978,1
1989,1
2170,1
2241,1
2326,1
2337,1
2351,1
2381,1
2439,1
2452,1
