Year,Month,fed,Not Fed,Fed,date
2015,11,0,8524,NA,01-11-2015
2015,11,1,NA,578297,01-11-2015
2015,11,0,1239,NA,01-11-2015
2015,12,0,19871,NA,01-12-2015
2015,12,1,NA,941221,01-12-2015
2015,12,0,2692,NA,01-12-2015
2016,1,0,35213,NA,01-01-2016
2016,1,1,NA,1639323,01-01-2016
2016,1,0,2443,NA,01-01-2016
2016,2,0,33194,NA,01-02-2016
2016,2,1,NA,1341159,01-02-2016
2016,2,0,2291,NA,01-02-2016
2016,3,0,31149,NA,01-03-2016
2016,3,1,NA,1165159,01-03-2016
2016,3,0,2347,NA,01-03-2016
2016,4,0,12552,NA,01-04-2016
2016,4,1,NA,271993,01-04-2016
2016,4,0,673,NA,01-04-2016
2016,11,0,8895,NA,01-11-2016
2016,11,1,NA,581414,01-11-2016
2016,11,0,1353,NA,01-11-2016
2016,12,0,24748,NA,01-12-2016
2016,12,1,NA,1123817,01-12-2016
2016,12,0,2258,NA,01-12-2016
2017,1,0,22957,NA,01-01-2017
2017,1,1,NA,1356758,01-01-2017
2017,1,0,399,NA,01-01-2017
2017,2,0,21809,NA,01-02-2017
2017,2,1,NA,1159781,01-02-2017
2017,2,0,363,NA,01-02-2017
2017,3,0,25552,NA,01-03-2017
2017,3,1,NA,1219382,01-03-2017
2017,3,0,264,NA,01-03-2017
2017,4,0,12118,NA,01-04-2017
2017,4,1,NA,227699,01-04-2017
2017,11,0,7762,NA,01-11-2017
2017,11,1,NA,559612,01-11-2017
2017,11,0,36,NA,01-11-2017
2017,12,0,23166,NA,01-12-2017
2017,12,1,NA,1132623,01-12-2017
2017,12,0,184,NA,01-12-2017
2018,1,0,13178,NA,01-01-2018
2018,1,1,NA,1396696,01-01-2018
2018,1,0,15042,NA,01-01-2018
2018,2,0,11667,NA,01-02-2018
2018,2,1,NA,1191452,01-02-2018
2018,2,0,13182,NA,01-02-2018
2018,3,0,12059,NA,01-03-2018
2018,3,1,NA,2258326,01-03-2018
2018,3,0,12548,NA,01-03-2018
2018,4,0,8405,NA,01-04-2018
2018,4,1,NA,369595,01-04-2018
2018,4,0,4715,NA,01-04-2018
2018,11,0,6394,NA,01-11-2018
2018,11,1,NA,657380,01-11-2018
2018,11,0,4660,NA,01-11-2018
2018,12,0,10188,NA,01-12-2018
2018,12,1,NA,1011016,01-12-2018
2018,12,0,8534,NA,01-12-2018
2019,1,0,11321,NA,01-01-2019
2019,1,1,NA,1329045,01-01-2019
2019,1,0,22267,NA,01-01-2019
2019,2,0,9982,NA,01-02-2019
2019,2,1,NA,1205369,01-02-2019
2019,2,0,19646,NA,01-02-2019
2019,3,0,11434,NA,01-03-2019
2019,3,1,NA,1197998,01-03-2019
2019,3,0,20914,NA,01-03-2019
2019,4,0,1568,NA,01-04-2019
2019,4,1,NA,111172,01-04-2019
2019,4,0,3167,NA,01-04-2019
2019,5,0,13,NA,01-05-2019
2019,6,0,1,NA,01-06-2019
2019,11,0,5490,NA,01-11-2019
2019,11,1,NA,681465,01-11-2019
2019,11,0,7010,NA,01-11-2019
2019,12,0,7489,NA,01-12-2019
2019,12,1,NA,912301,01-12-2019
2019,12,0,14394,NA,01-12-2019
2020,1,0,12431,NA,01-01-2020
2020,1,1,NA,1282812,01-01-2020
2020,1,0,25615,NA,01-01-2020
2020,2,0,13094,NA,01-02-2020
2020,2,1,NA,1309136,01-02-2020
2020,2,0,29454,NA,01-02-2020
2020,3,0,11223,NA,01-03-2020
2020,3,1,NA,1136703,01-03-2020
2020,3,0,26707,NA,01-03-2020
2020,4,0,10546,NA,01-04-2020
2020,4,1,NA,690154,01-04-2020
2020,4,0,18894,NA,01-04-2020
2020,5,1,NA,3,01-05-2020
