date,fed,Fed,Not Fed
01-11-2015,0,NA,9763
01-11-2015,1,578297,NA
01-12-2015,0,NA,22563
01-12-2015,1,941221,NA
01-01-2016,0,NA,37656
01-01-2016,1,1639323,NA
01-02-2016,0,NA,35485
01-02-2016,1,1341159,NA
01-03-2016,0,NA,33496
01-03-2016,1,1165159,NA
01-04-2016,0,NA,13225
01-04-2016,1,271993,NA
01-11-2016,0,NA,10248
01-11-2016,1,581414,NA
01-12-2016,0,NA,27006
01-12-2016,1,1123817,NA
01-01-2017,0,NA,23356
01-01-2017,1,1356758,NA
01-02-2017,0,NA,22172
01-02-2017,1,1159781,NA
01-03-2017,0,NA,25816
01-03-2017,1,1219382,NA
01-04-2017,0,NA,12118
01-04-2017,1,227699,NA
01-11-2017,0,NA,7798
01-11-2017,1,559612,NA
01-12-2017,0,NA,23350
01-12-2017,1,1132623,NA
01-01-2018,0,NA,28220
01-01-2018,1,1396696,NA
01-02-2018,0,NA,24849
01-02-2018,1,1191452,NA
01-03-2018,0,NA,24607
01-03-2018,1,2258326,NA
01-04-2018,0,NA,13120
01-04-2018,1,369595,NA
01-11-2018,0,NA,11054
01-11-2018,1,657380,NA
01-12-2018,0,NA,18722
01-12-2018,1,1011016,NA
01-01-2019,0,NA,33588
01-01-2019,1,1329045,NA
01-02-2019,0,NA,29628
01-02-2019,1,1205369,NA
01-03-2019,0,NA,32348
01-03-2019,1,1197998,NA
01-04-2019,0,NA,4735
01-04-2019,1,111172,NA
01-05-2019,0,NA,13
01-06-2019,0,NA,1
01-11-2019,0,NA,12500
01-11-2019,1,681465,NA
01-12-2019,0,NA,21883
01-12-2019,1,912301,NA
01-01-2020,0,NA,38046
01-01-2020,1,1282812,NA
01-02-2020,0,NA,42548
01-02-2020,1,1309136,NA
01-03-2020,0,NA,37930
01-03-2020,1,1136703,NA
01-04-2020,0,NA,29440
01-04-2020,1,690154,NA
01-05-2020,1,3,NA
